,序号,全氮(%),全磷(%),全钾(%),group,source_type
0,1-9,1.8797,0.1257,1.3122,1,single
2,1-19,2.111,0.1522,1.2242,1,single
0,1,1.9979,0.255187525479005,1.72176926212801,1,complex
1,1-18,2.7346,0.1428,1.7936,1,single
3,2-6,2.1978,0.2322,2.2131,2,single
4,2-11,2.325,0.2655,2.1643,2,single
5,2-19,1.735,0.2026,0.9542,2,single
1,2,2.0969,0.393769816106531,1.72701331642359,2,complex
2,3,2.099,0.354353233830846,2.19289914066033,3,complex
6,3-7,1.7117,—,—,3,single
7,3-16,2.194,0.2308,2.8244,3,single
8,3-20,2.1276,0.2051,2.487,3,single
3,4,1.874,0.474175093134646,1.79536987759446,4,complex
9,4-9,1.5144,0.4152,2.1314,4,single
11,4-17,1.6745,0.2608,1.3649,4,single
10,4-13,1.5382,0.3296,2.2219,4,single
14,5-19,1.8844,0.2645,2.3255,5,single
13,5-16,2.0464,0.2758,2.1112,5,single
4,5,1.9441,0.371208346309561,1.7430706944877,5,complex
12,5-7,2.027,0.2143,2.3731,5,single
15,6-7,2.1057,0.1468,1.7986,6,single
16,6-9,1.6755,0.1415,2.8127,6,single
17,6-13,1.8043,0.1401,1.4219,6,single
5,6,2.3911,0.268316028552888,1.58890330953926,6,complex
18,7-7,1.9583,0.176,0.78,7,single
19,7-13,1.9775,0.2616,1.2456,7,single
20,7-18,1.996,0.1773,0.9683,7,single
6,7,2.0425,0.274915860328145,1.44026083298275,7,complex
23,8-18,2.16,0.2919,2.7004,8,single
22,8-12,2.4605,0.2521,2.3906,8,single
21,8-8,1.9883,0.2663,2.2471,8,single
7,8,2.2274,0.416747159090909,1.83153409090909,8,complex
8,9,2.496,0.255358126721763,1.65206611570248,9,complex
26,9-16,2.5942,0.1675,1.587,9,single
25,9-14,2.4109,0.2001,2.3142,9,single
24,9-7,2.6092,0.1664,1.9408,9,single
9,10,2.1212,0.253161563355738,1.49290515309933,10,complex
28,10-11,1.8884,0.2368,1.7285,10,single
27,10-5,2.0914,0.1312,1.353,10,single
29,10-18,1.885,0.1165,1.2448,10,single
10,11,1.9738,0.328300841825432,2.14820558263181,11,complex
32,11-11,2.1665,0.2307,2.1024,11,single
31,11-10,1.923,0.2275,2.6638,11,single
30,11-7,1.4758,0.2502,1.6352,11,single
11,12,1.8529,0.250508829691709,1.67524693205627,12,complex
34,12-7,2.0293,0.1754,1.6607,12,single
35,12-17,2.265,0.1133,1.2025,12,single
33,12-6,1.7193,0.1303,1.8297,12,single
38,13-9,2.1477,0.1945,1.7972,13,single
37,13-7,1.8487,0.1512,1.4321,13,single
36,13-6,2.0794,0.1865,1.2716,13,single
12,13,2.1189,0.28668364289994,1.70671060515279,13,complex
41,14-16,2.1778,0.1714,1.7192,14,single
40,14-12,2.1763,0.2145,2.003,14,single
39,14-5,1.835,0.2299,1.7501,14,single
13,14,2.034,0.320416666666667,1.90779569892473,14,complex
43,15-11,2.2824,0.3453,1.7173,15,single
42,15-5,1.7592,0.2561,2.4205,15,single
14,15,1.9678,0.342262035612222,1.97779731809189,15,complex
44,15-14,1.6399,0.1769,2.007,15,single
15,16,1.8042,0.247575301204819,1.8816265060241,16,complex
47,16-15,1.397,0.1444,1.456,16,single
45,16-7,2.1121,0.1796,2.2228,16,single
46,16-12,1.5188,0.1266,1.7259,16,single
50,17-12,2.4431,0.1244,1.4953,17,single
48,17-7,2.6161,0.1525,1.8341,17,single
49,17-9,2.0314,0.1287,1.7917,17,single
16,17,2.3159,0.239459540161242,1.67124514780531,17,complex
51,18-7,1.9735,0.175,1.1639,18,single
52,18-8,2.071,0.1632,1.199,18,single
53,18-12,1.8431,0.153,1.5243,18,single
17,18,1.74425,0.239886491001445,1.37277282547375,18,complex
18,19,2.316,0.32392367371623,1.09712423602203,19,complex
54,19-5,1.9227,0.2289,1.1005,19,single
56,19-17,2.2793,0.1873,0.9545,19,single
55,19-8,2.1941,0.1941,0.9135,19,single
59,20-18,2.5649,0.2134,1.4783,20,single
57,20-8,2.3606,0.2134,1.5882,20,single
19,20,2.3719,0.351001821493625,1.21152094717669,20,complex
58,20-14,2.5259,0.2147,1.576,20,single
62,21-16,2.2421,0.1824,1.5417,21,single
20,21,2.2057,0.260902872777018,1.55978112175103,21,complex
61,21-9,2.0654,0.1959,1.7305,21,single
60,21-6,2.3746,0.2233,2.1664,21,single
21,22,2.5094,0.263436341161928,1.78269468479604,22,complex
65,22-9,2.4754,0.159,1.8429,22,single
64,22-8,2.1149,0.1317,1.8059,22,single
63,22-5,1.8425,0.1341,1.3723,22,single
22,23,1.9711,0.275280605586009,1.27930044374837,23,complex
68,23-16,1.4884,0.163,1.3205,23,single
67,23-11,0.4094,0.1814,1.6824,23,single
66,23-8,2.0941,0.1599,1.6243,23,single
23,24,2.1225,0.268791946308725,1.18938758389262,24,complex
71,24-16,2.0421,0.1614,0.7935,24,single
69,24-9,2.0554,0.1509,1.2695,24,single
70,24-13,2.4355,0.1761,1.3598,24,single
73,27-8,2.2551,0.1374,1.5167,27,single
72,27-5,2.3623,0.1534,1.4072,27,single
24,27,2.4733,0.228457092040907,1.61427301022677,27,complex
74,27-12,2.1097,0.1141,1.7553,27,single
75,28-5,1.9772,0.1532,1.3551,28,single
76,28-10,1.9545,0.1319,1.6466,28,single
77,28-15,2.5846,0.1776,1.6794,28,single
25,28,2.1292,0.249656818860042,1.67442554461355,28,complex
78,29-6,2.2646,0.1355,1.2429,29,single
79,29-9,2.4397,0.1233,1.0063,29,single
80,29-15,2.6865,0.1648,1.8137,29,single
26,29,2.2606,0.241810245807489,0.974270617964622,29,complex
82,30-10,2.2573,0.1325,1.0079,30,single
27,30,2.3606,0.251305130513051,1.27242724272427,30,complex
83,30-14,2.7126,0.1642,0.9343,30,single
81,30-5,2.1509,0.1307,1.6158,30,single
28,31,2.1221,0.33628088426528,1.45882097962722,31,complex
86,31-9,1.9455,0.236,1.7066,31,single
85,31-8,1.8155,0.2222,2.116,31,single
84,31-5,2.3298,0.2171,2.1939,31,single
29,32,1.7112,0.406325230115648,1.13547321217843,32,complex
88,32-11,1.6718,0.2938,1.1226,32,single
87,32-8,1.8219,0.3541,1.7883,32,single
89,32-15,2.1506,0.1624,0.909,32,single
92,34-15,1.6551,0.1582,1.3004,34,single
30,34,2.4247,0.312938256282966,1.41203847347192,34,complex
91,34-11,1.9484,0.1586,1.7543,34,single
90,34-6,3.0438,0.0993,0.7057,34,single
31,35,2.5225,0.270043236565781,1.60201770640313,35,complex
94,35-8,2.4546,0.1677,1.8813,35,single
95,35-11,2.419,0.1439,2.1248,35,single
93,35-5,2.5087,0.1652,1.4599,35,single
98,36-15,2.9962,0.0751,0.6345,36,single
97,36-10,2.245,0.1549,1.5657,36,single
96,36-7,2.4948,0.181,1.8565,36,single
32,36,2.4382,0.275227686703096,1.2237401335762,36,complex
101,37-16,1.9191,0.1338,0.806,37,single
100,37-13,2.1786,0.1459,0.7554,37,single
99,37-7,3.2181,0.0663,0.3121,37,single
33,37,2.3284,0.278964194373402,1.15121483375959,37,complex
34,38,2.2458,0.308312342569269,1.80268681780017,38,complex
104,38-15,2.039,0.1819,2.1742,38,single
103,38-13,2.1694,0.221,1.846,38,single
102,38-8,2.1617,0.2834,1.2006,38,single
35,39,2.1152,0.317461289063156,1.51840011143362,39,complex
107,39-16,2.133,0.2399,1.223,39,single
106,39-14,1.9141,0.2228,1.9692,39,single
105,39-12,2.4815,0.2364,1.7815,39,single
108,40-8,2.4187,0.198,1.7463,40,single
109,40-12,2.3293,0.2193,1.8391,40,single
110,40-13,2.4739,0.2031,1.8192,40,single
36,40,2.2701,0.235274505445655,1.80717937319404,40,complex
111,41-7,2.3443,0.1464,1.2505,41,single
112,41-18,2.6975,0.1547,1.6853,41,single
113,41-20,2.8237,0.1492,1.5694,41,single
37,41,2.6098,0.194186835557566,1.63548970821081,41,complex
114,44-5,2.2153,0.1679,1.6734,44,single
115,44-12,2.5288,0.1725,1.6973,44,single
116,44-18,2.1613,0.1333,1.34,44,single
38,44,2.1715,0.219750470809793,1.58439265536723,44,complex
39,45,2.0735,0.212388340385519,1.4528678890456,45,complex
119,45-12,1.9158,0.1359,1.3304,45,single
118,45-10,2.1403,0.1359,1.3772,45,single
117,45-7,1.9001,0.1382,1.3345,45,single
122,46-14,1.9196,0.1763,1.3891,46,single
120,46-6,2.3732,0.1585,1.5925,46,single
40,46,2.3394,0.223246450519178,1.40506463233736,46,complex
121,46-8,2.0126,0.1364,1.0476,46,single
123,47-8,2.1066,0.1954,1.3904,47,single
124,47-11,2.4313,0.1932,1.8382,47,single
125,47-12,2.6566,0.2248,2.2446,47,single
41,47,2.2089,0.237248046071576,1.40487453722748,47,complex
42,48,2.4703,0.19676581680831,1.47084513692162,48,complex
126,48-6,2.2842,0.1293,0.8833,48,single
128,48-16,2.4975,0.1255,1.4741,48,single
127,48-13,2.5175,0.1643,2.0772,48,single
130,49-17,2.6352,0.2588,1.4914,49,single
129,49-6,2.404,0.1848,1.2417,49,single
131,49-20,2.3739,0.1689,1.668,49,single
43,49,2.551,0.257884281102558,1.36093866401788,49,complex
44,50,2.453,0.213493530499076,0.849088988645366,50,complex
132,50-7,2.4085,0.1444,1.1695,50,single
133,50-11,2.9752,0.1717,1.1156,50,single
134,50-13,2.6536,0.1747,0.9096,50,single
45,51,2.3962,0.222013274336283,1.53329646017699,51,complex
135,51-6,2.5143,0.1551,1.5322,51,single
137,51-19,2.3469,0.1676,1.6394,51,single
136,51-13,2.3578,0.1511,1.3086,51,single
140,52-20,2.4445,0.2587,2.1511,52,single
139,52-14,2.2779,0.2437,2.3493,52,single
46,52,2.4842,0.335853885528153,2.22906002791996,52,complex
138,52-7,2.4809,0.2761,2.4433,52,single
143,53-21,2.1146,0.1782,1.1437,53,single
142,53-18,0.2196,0.1368,1.0942,53,single
141,53-8,2.1991,0.1764,1.6623,53,single
47,53,2.208,0.232533521524347,1.59503646200894,53,complex
144,54-6,1.8268,0.2268,1.6093,54,single
145,54-11,2.0557,0.2114,1.539,54,single
146,54-16,2.1293,0.2594,1.8677,54,single
48,54,2.0103,0.26311844077961,1.79492396658813,54,complex
49,58,2.0112,0.239962554607864,1.7017890576243,58,complex
147,58-6,2.1629,0.1765,1.7818,58,single
148,58-12,1.6868,0.2229,1.815,58,single
149,58-24,1.9435,0.1355,1.5383,58,single
150,59-13,2.5191,0.1587,1.031,59,single
151,59-14,2.2773,0.1541,1.2622,59,single
152,59-16,2.4116,0.1834,1.2641,59,single
50,59,2.298,0.221230158730159,1.20822310405644,59,complex
154,60-13,2.1536,0.1575,1.6095,60,single
51,60,2.2453,0.17440583540422,1.65388436068234,60,complex
153,60-7,2.2041,0.1635,1.1931,60,single
155,60-15,2.3195,1.637,1.4903,60,single
156,61-9,2.3741,0.2112,2.1472,61,single
157,61-15,0.4155,0.1711,1.8146,61,single
158,61-5,1.8607,0.224,1.3127,61,single
52,61,2.3789,0.216434417164344,1.57979429329794,61,complex
53,62,2.6242,0.143776824034335,1.42903126916002,62,complex
159,62-4,2.5479,0.1447,1.2384,62,single
161,62-13,2.7153,0.1456,1.7402,62,single
160,62-10,2.0367,0.1178,0.9225,62,single
164,63-20,2.5368,0.1732,1.5716,63,single
163,63-15,2.7395,0.1671,1.0521,63,single
162,63-5,2.0378,0.1427,1.6852,63,single
54,63,2.6696,0.165823699421965,1.37096579961464,63,complex
55,64,2.1336,0.179338299737073,1.7840162138475,64,complex
167,64-14,1.6477,0.1498,1.268,64,single
166,64-11,2.2465,0.1545,1.1834,64,single
165,64-7,1.9475,0.1429,0.7565,64,single
56,65,1.8698,0.118135220893337,2.06059311691482,65,complex
168,65-6,2.0683,0.116,2.2587,65,single
169,65-11,1.4846,0.112,2.2312,65,single
170,65-14,1.9422,0.1009,2.1912,65,single
171,66-1,2.1521,0.1319,0.8711,66,single
172,66-7,2.1539,0.157,0.9944,66,single
173,66-8,2.7998,0.1712,1.415,66,single
57,66,2.4036,0.149043627767032,0.962228669675478,66,complex
176,67-17,2.5385,0.1828,1.5513,67,single
175,67-15,2.0355,0.1391,1.2649,67,single
174,67-7,2.1248,0.1517,1.1482,67,single
58,67,2.2403,0.167820925055652,1.69236952757853,67,complex
178,68-8,2.5048,0.1317,0.9872,68,single
177,68-6,2.1664,0.1262,0.757,68,single
59,68,2.4846,0.155243690165361,0.978513925152306,68,complex
179,68-14,1.9886,0.1651,1.5147,68,single
180,69-5,2.5459,0.1368,1.5673,69,single
182,69-12,2.459,—,—,69,single
60,69,2.6492,0.136880165289256,1.37971332644628,69,complex
181,69-9,2.568,0.1331,1.3751,69,single
183,70-9,2.7991,0.1394,2.0284,70,single
184,70-13,2.4988,0.137,1.1094,70,single
185,70-16,2.2315,0.1356,1.0923,70,single
61,70,2.6953,0.14617673992674,1.53210851648352,70,complex
187,71-11,2.3007,0.1142,1.4844,71,single
188,71-17,2.5613,0.1202,1.4262,71,single
186,71-8,2.4371,0.1307,0.9516,71,single
62,71,2.6516,0.125715648854962,1.44137643129771,71,complex
189,72-9,2.3814,0.1741,2.7818,72,single
190,72-12,2.2669,0.1502,1.7646,72,single
191,72-18,2.1538,0.124,1.8918,72,single
63,72,2.2165,0.133773308191913,1.80017808506181,72,complex
64,73,2.1932,0.146703036053131,1.71780123339658,73,complex
193,73-12,2.6429,0.1838,2.8931,73,single
192,73-7,1.6761,0.1333,2.016,73,single
194,73-15,1.7985,0.1388,1.6902,73,single
195,74-6,1.997,0.1471,1.4714,74,single
196,74-11,2.1241,0.1499,2.1051,74,single
197,74-14,2.2297,0.1441,1.5977,74,single
65,74,2.6368,0.136711281070746,1.59172509029106,74,complex
198,75-9,2.8622,0.1594,1.8852,75,single
199,75-10,2.8492,0.1669,1.5774,75,single
66,75,2.1673,0.145047705588369,1.65657655611086,75,complex
200,75-16,2.9968,0.1842,1.6355,75,single
67,76,2.375,0.106324278438031,1.03825339558574,76,complex
201,76-5,2.7184,0.1246,1.4301,76,single
203,76-21,2.4194,0.1148,1.4255,76,single
202,76-17,2.2767,0.1216,0.8363,76,single
206,77-19,2.5628,0.1267,0.5666,77,single
205,77-15,2.3866,0.1277,0.6221,77,single
204,77-9,2.271,0.1286,0.422,77,single
68,77,2.4978,0.159648661133621,0.81081340075415,77,complex
209,78-15,2.1882,0.2102,1.9526,78,single
208,78-12,2.1921,0.2027,1.7123,78,single
69,78,2.0479,0.234089842833685,1.43502228477598,78,complex
207,78-5,2.2613,0.1676,1.7518,78,single
211,79-8,2.4273,0.2115,1.9472,79,single
212,79-14,2.2595,0.2297,1.602,79,single
70,79,2.3784,0.224048083963876,1.56639004149378,79,complex
210,79-5,2.2915,0.2567,1.0001,79,single
71,80,2.4357,0.207507595232531,1.78020565552699,80,complex
214,80-14,2.366,0.1888,2.4659,80,single
215,80-16,2.453,0.1751,2.0701,80,single
213,80-8,2.2388,0.1712,1.6596,80,single
72,81,2.1758,0.167759315206445,0.98036253776435,81,complex
216,81-10,2.1987,0.1434,1.0177,81,single
217,81-12,2.0299,0.1367,0.7663,81,single
218,81-15,2.3697,0.1508,1.2601,81,single
73,82,2.3771,0.181980554948656,1.50043696744593,82,complex
219,82-17,2.5116,0.1494,1.9733,82,single
220,82-14,2.5387,0.1448,1.836,82,single
221,82-8,2.1219,0.1421,1.6537,82,single
224,83-21,3.5767,0.2086,2,83,single
222,83-7,2.7196,0.1844,1.4098,83,single
223,83-13,2.695,0.1799,1.5085,83,single
74,83,2.6053,0.204355899830221,1.40439303904924,83,complex
225,84-10,2.658,0.1547,2.4343,84,single
226,84-18,3.5066,0.069,0.7943,84,single
227,84-24,2.7043,0.147,1.8078,84,single
75,84,2.5006,0.182216259419959,1.76238867321306,84,complex
228,85-7,2.7209,0.2002,1.5739,85,single
229,85-12,2.5156,0.1825,2.5228,85,single
230,85-16,2.4728,0.1883,1.9805,85,single
76,85,2.7369,0.220191637630662,2.03658536585366,85,complex
231,86-8,1.7043,0.1537,0.9456,86,single
232,86-12,2.1189,0.1673,1.4835,86,single
233,86-17,2.9179,0.1995,1.9191,86,single
77,86,2.3901,0.216753494282084,1.70711562897077,86,complex
78,87,1.9756,0.18526285046729,1.82651869158878,87,complex
234,87-6,2.4243,0.1998,1.7918,87,single
235,87-12,2.3043,0.1519,1.9606,87,single
236,87-15,1.8347,0.1699,1.8014,87,single
239,88-14,3.0629,0.1086,0.6874,88,single
238,88-12,2.1897,0.1561,1.3982,88,single
237,88-7,2.3649,0.1852,1.3781,88,single
79,88,2.2741,0.177945466786356,1.5524012567325,88,complex
